YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 120  6.5  7.8  1.11  5.26  4.23 999 1012.7  27.1  27.2 999.0 99.0 99.00
2006 01 01 01 00 119  7.2  8.5 99.00 99.00 99.00 999 1013.2  27.1  27.2 999.0 99.0 99.00
2006 01 01 02 00 120  7.0  8.5  1.15  5.88  4.20 999 1013.9  27.2  27.1 999.0 99.0 99.00
2006 01 01 03 00 115  7.2  8.3  1.20  5.88  4.58 999 1014.2  27.2  27.1 999.0 99.0 99.00
2006 01 01 04 00 109  7.4  8.3  0.98  5.88  3.99 999 1014.2  27.0  27.1 999.0 99.0 99.00
2006 01 01 05 00 106  6.7  9.1  1.05  5.88  4.02 999 1014.1  27.0  27.1 999.0 99.0 99.00
2006 01 01 06 00 109  7.9  9.3 99.00 99.00 99.00 999 1013.7  26.9  27.1 999.0 99.0 99.00
2006 01 01 07 00 116  7.1  8.4  1.01  5.26  4.02 999 1013.2  26.9  27.1 999.0 99.0 99.00
2006 01 01 08 00 115  7.7  9.1 99.00 99.00 99.00 999 1012.7  26.8  27.1 999.0 99.0 99.00
2006 01 01 09 00 115  8.2  9.1  1.05  5.56  4.02 999 1012.6  26.9  27.1 999.0 99.0 99.00
2006 01 01 10 00 114  8.3  9.6  1.06  5.56  4.08 999 1012.5  26.9  27.1 999.0 99.0 99.00
2006 01 01 11 00 117  8.4  9.5  1.10  5.56  4.11 999 1012.8  26.9  27.1 999.0 99.0 99.00
2006 01 01 12 00 121  7.3  8.8  1.10  5.26  4.04 999 1013.2  26.9  27.1 999.0 99.0 99.00
2006 01 01 13 00 118  7.3  8.5  1.09  6.25  4.17 999 1013.9  26.9  27.1 999.0 99.0 99.00
2006 01 01 14 00 119  7.7  8.8 99.00 99.00 99.00 999 1014.7  27.1  27.1 999.0 99.0 99.00
2006 01 01 15 00 116  8.1  9.4  1.06  4.55  4.06 999 1015.3  27.1  27.1 999.0 99.0 99.00
2006 01 01 16 00 120  9.0 10.0  1.02  5.56  4.01 999 1015.4  27.3  27.1 999.0 99.0 99.00
2006 01 01 17 00 120  7.3  8.8 99.00 99.00 99.00 999 1015.1  27.2  27.1 999.0 99.0 99.00
2006 01 01 18 00 114  7.1  8.5  1.11  5.26  4.07 999 1014.0  27.2  27.1 999.0 99.0 99.00
2006 01 01 19 00 118  8.0  9.4  1.14  5.56  4.16 999 1013.5  27.1  27.2 999.0 99.0 99.00
2006 01 01 20 00 119  8.4  9.6  1.20  5.88  4.13 999 1012.8  27.3  27.1 999.0 99.0 99.00
2006 01 01 21 00 112  8.3  9.4  1.23  6.67  4.17 999 1012.7  27.2  27.1 999.0 99.0 99.00
2006 01 01 22 00 105  9.5 10.9  1.23  5.88  4.17 999 1013.0  27.3  27.1 999.0 99.0 99.00
2006 01 01 23 00 114  8.7 10.1  1.30  5.88  4.29 999 1013.5  27.2  27.1 999.0 99.0 99.00
2006 01 02 00 00 106  9.2 10.7  1.25  5.56  4.17 999 1013.8  27.1  27.1 999.0 99.0 99.00
2006 01 02 01 00 103  8.3 10.1  1.24  5.88  4.22 999 1014.4  27.1  27.1 999.0 99.0 99.00
2006 01 02 02 00 107  8.7 10.3  1.33  5.56  4.38 999 1014.8  27.1  27.1 999.0 99.0 99.00
2006 01 02 03 00 102  8.9 10.2  1.23  6.25  4.15 999 1015.3  27.0  27.1 999.0 99.0 99.00
2006 01 02 04 00 108  9.6 10.7  1.28  5.56  4.20 999 1015.2  27.0  27.1 999.0 99.0 99.00
2006 01 02 05 00 116  8.8 10.4  1.32  5.26  4.31 999 1015.2  27.0  27.1 999.0 99.0 99.00
2006 01 02 06 00 113  8.7 10.0  1.37  5.56  4.34 999 1015.0  26.9  27.1 999.0 99.0 99.00
