#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00  79 12.4 14.3  2.75  8.33  5.29 999 1012.8  27.3  27.7  23.8 99.0 99.00
2007 01 01 01 00  79 12.3 15.5  2.99  8.33  5.64 999 1013.5  27.2  27.7  23.6 99.0 99.00
2007 01 01 02 00  77 12.2 14.3  2.69  8.33  5.17 999 1013.9  27.2  27.7  23.6 99.0 99.00
2007 01 01 03 00  76 12.7 14.7  2.78  8.33  5.61 999 1014.0  27.4  27.7  23.6 99.0 99.00
2007 01 01 04 00  75 12.9 16.0  2.87  8.33  5.41 999 1013.7  27.4  27.7  23.4 99.0 99.00
2007 01 01 05 00  83 11.9 15.1  3.15  8.33  5.89 999 1013.5  25.7  27.7  23.8 99.0 99.00
2007 01 01 06 00  78 12.8 15.3  2.96  8.33  5.75 999 1012.8  27.3  27.6  23.1 99.0 99.00
2007 01 01 07 00  77 11.4 15.8  3.24  8.33  6.10 999 1012.3  24.4  27.6  23.1 99.0 99.00
2007 01 01 08 00  79 12.2 14.8  2.66  7.69  5.66 999 1011.9  27.2  27.6  23.4 99.0 99.00
2007 01 01 09 00  77 12.1 14.4  3.00  8.33  5.86 999 1012.1  27.3  27.6  23.4 99.0 99.00
2007 01 01 10 00  79 12.5 14.7  2.90  8.33  5.98 999 1012.3  27.4  27.6  22.9 99.0 99.00
2007 01 01 11 00  84 11.8 14.5  3.10  9.09  5.86 999 1012.9  27.4  27.6  23.1 99.0 99.00
2007 01 01 12 00  80 12.4 14.4  3.15  7.69  5.90 999 1013.5  27.6  27.6  23.2 99.0 99.00
2007 01 01 13 00  82 12.9 15.2  3.10  8.33  5.89 999 1014.3  28.3  27.7  23.6 99.0 99.00
2007 01 01 14 00  92 11.3 13.1  3.08  8.33  5.76 999 1015.0  27.4  27.7  24.0 99.0 99.00
2007 01 01 15 00  83 12.6 15.8  3.01  8.33  5.65 999 1015.0  28.4  27.7  23.9 99.0 99.00
2007 01 01 16 00  80 13.1 15.2  3.04  8.33  5.63 999 1014.5  28.7  27.7  23.3 99.0 99.00
2007 01 01 17 00  84 13.8 16.2  3.00  8.33  5.48 999 1013.8  29.1  27.7  23.4 99.0 99.00
2007 01 01 18 00  86 13.0 15.8  2.97  7.69  5.33 999 1012.8  29.0  27.7  23.6 99.0 99.00
2007 01 01 19 00  85 12.8 15.5  3.22  7.69  5.70 999 1012.0  29.3  27.7  23.6 99.0 99.00
2007 01 01 20 00  84 13.1 15.8  3.09  9.09  5.56 999 1011.6  28.6  27.7  23.9 99.0 99.00
2007 01 01 21 00  83 12.3 14.8  3.19  8.33  5.70 999 1011.4  29.0  27.7  24.2 99.0 99.00
2007 01 01 22 00  83 12.9 15.5  3.15  8.33  5.52 999 1011.6  28.2  27.7  24.2 99.0 99.00
2007 01 01 23 00  79 12.5 15.9  3.19  8.33  5.47 999 1011.9  27.5  27.7  24.3 99.0 99.00
2007 01 02 00 00  85 12.7 15.3  3.07  8.33  5.59 999 1012.5  27.6  27.7  23.7 99.0 99.00
2007 01 02 01 00  82 12.0 14.6  3.07  8.33  5.61 999 1013.4  27.5  27.7  24.3 99.0 99.00
2007 01 02 02 00  86 12.3 14.1  3.26  8.33  5.70 999 1013.9  27.5  27.7  24.0 99.0 99.00
