#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 04 26 00 50  83  8.6  9.8  1.88  6.67  4.74 999 1015.0  27.1  27.1  21.9 99.0 99.00
2009 04 26 01 50  79  8.1  9.8  1.89  7.14  4.83 999 1015.4  27.1  27.1  21.8 99.0 99.00
2009 04 26 02 50  93  7.8  9.6  1.88  7.14  4.93 999 1015.8  27.1  27.1  21.5 99.0 99.00
2009 04 26 03 50  86  7.7  9.2  1.82  7.14  4.86 999 1015.5  26.9  27.1  22.3 99.0 99.00
2009 04 26 04 50  83  8.1  9.7  1.68  7.14  4.73 999 1014.9  26.9  27.1  21.7 99.0 99.00
2009 04 26 05 50  84  8.6  9.8  1.89  7.14  4.88 999 1014.2  26.8  27.1  21.6 99.0 99.00
2009 04 26 06 50  82  8.2 10.1  1.86  6.67  4.83 999 1013.9  26.8  27.1  21.5 99.0 99.00
2009 04 26 07 50  85  8.7 10.4  1.74  6.25  4.76 999 1013.6  26.9  27.1  21.2 99.0 99.00
2009 04 26 08 50  88  8.6 10.9  1.69  7.14  4.69 999 1013.9  26.9  27.1  21.3 99.0 99.00
2009 04 26 09 50  82  9.2 10.7  1.85  6.67  4.90 999 1014.3  26.6  27.1  22.0 99.0 99.00
2009 04 26 10 50  88  9.4 10.8  1.93  6.67  4.82 999 1014.8  27.2  27.1  21.3 99.0 99.00
2009 04 26 11 50  83  9.5 11.2  1.95  6.25  4.89 999 1015.5  27.1  27.1  21.8 99.0 99.00
2009 04 26 12 50  92  8.4 11.5  2.05  5.88  5.01 999 1016.2  26.5  27.1  22.3 99.0 99.00
2009 04 26 13 50  86  9.7 12.5  2.14  6.67  4.93 999 1016.3  27.3  27.1  21.9 99.0 99.00
2009 04 26 14 50  89  8.7 10.2  2.15  6.25  4.99 999 1016.4  27.0  27.1  22.4 99.0 99.00
2009 04 26 15 50  86  9.8 12.0  2.13  6.67  5.02 999 1016.2  27.2  27.2  21.8 99.0 99.00
2009 04 26 16 50  88  9.8 11.5  2.27  7.14  5.16 999 1015.8  27.4  27.2  21.5 99.0 99.00
2009 04 26 17 50  91  8.8 10.9  2.20  7.14  5.16 999 1015.3  27.4  27.3  21.8 99.0 99.00
2009 04 26 18 50  88  9.2 11.0  2.34  7.14  5.24 999 1014.6  27.4  27.3  21.6 99.0 99.00
2009 04 26 19 50  83  8.9 10.6  2.12  7.14  4.99 999 1014.2  27.3  27.3  21.9 99.0 99.00
2009 04 26 20 50  86  9.5 11.1  2.19  7.14  5.14 999 1014.0  27.3  27.3  21.5 99.0 99.00
2009 04 26 21 50  82  9.6 11.1  2.08  7.14  5.06 999 1014.0  27.3  27.3  22.0 99.0 99.00
2009 04 26 22 50  82 10.0 11.6  2.32  7.14  5.34 999 1014.4  27.2  27.3  22.1 99.0 99.00
2009 04 26 23 50  87  8.9 10.5  2.15  7.14  5.11 999 1015.0  27.0  27.2  22.5 99.0 99.00
2009 04 27 00 50  83 10.3 12.4  2.32  7.14  5.16 999 1015.2  26.7  27.2  22.2 99.0 99.00
2009 04 27 01 50  72  9.2 10.9  2.18  7.14  5.10 999 1016.0  26.4  27.2  22.7 99.0 99.00
2009 04 27 02 50  85  8.7 10.3  2.18  6.67  5.11 999 1016.3  26.6  27.2  22.0 99.0 99.00
2009 04 27 03 50  88 10.9 13.0  2.23  7.14  5.00 999 1015.8  27.2  27.2  21.5 99.0 99.00
